שם ישוב,סמל ישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אבו ג'ווייעד (שבט),967,ABU JUWEI'ID,6,62,623,,,3,,,,,,460,,2040057100,,699,15003711,2018,Abu Juway'ad,
אבו גוש,472,ABU GHOSH,1,11,111,99,444,2,7543,97,79,7446,,280,,2105263481,598,152,10002475,2018,Abu Ghosh,
אבו סנאן,473,ABU SINAN,2,24,245,99,,2,13915,28,11,13887,,270,,2160776284,19,252,10004315,2018,Abu Sinan,
אבו סריחאן (שבט),935,ABU SUREIHAN,6,62,623,,,3,,,,,,460,,1865057450,,699,10001937,2018,Abu Surayhan,
אבו עבדון (שבט),958,ABU ABDUN,6,62,623,,,3,,,,,,460,,1850057900,,699,10001937,2018,Abu 'Abdun,
אבו עמאר (שבט),1042,ABU AMMAR,6,62,623,,,3,,,,,,460,,1950056700,,699,15003711,2018,Abu 'Ammar,
אבו עמרה (שבט),932,ABU AMRE,6,62,623,,,3,,,,,,460,,1850057100,,699,10001937,2018,Abu 'Amra,
אבו קורינאת (יישוב),1342,ABU QUREINAT,6,62,623,68,,2,1815,,,1815,,450,,1963656105,410,624,15003711,2018,Abu Qureinat,610
אבו קורינאת (שבט),968,ABU QUREINAT,6,62,623,,,3,,,,,,460,,1970056000,,699,15003711,2018,Abu Kuraynat,
אבו רובייעה (שבט),966,ABU RUBEI'A,6,62,623,,,3,,,,,,460,,2050057200,,699,10001937,2018,Abu Rubay'a,
אבו רוקייק (שבט),961,ABU RUQAYYEQ,6,62,623,,,3,,,,,,460,,1920056600,,699,15003711,2018,Abu Rukayyek,
אבו תלול,1375,ABU TULUL,6,62,623,68,,2,1822,1,,1821,,450,,1933456589,340,624,15003711,2018,Abu Tulul,610
אבטין,652,IBTIN,3,31,311,12,222,2,2773,2,2,2771,,290,,2108874076,19,301,10004207,2018,Ibtin,
אבטליון,1275,AVTALYON,2,24,241,56,,1,470,470,450,,1987,370,10,2331474908,308,205,10004513,2018,Avtalyon,210
אביאל,679,AVI'EL,3,32,324,45,,1,815,815,799,,1949,310,9,1996171533,30,351,10004333,2018,Avi'el,
אביבים,1115,AVIVIM,2,21,212,2,,1,477,477,476,,1960,310,1,2444177707,668,209,10004528,2018,Avivim,211
אביגדור,819,AVIGEDOR,6,61,611,33,143,1,820,820,813,,1950,310,1,1757362428,55,616,10001821,2018,Avigedor,420
אביחיל,175,AVIHAYIL,4,41,411,16,141,1,1410,1410,1375,,1932,310,1,1880869527,20,409,10002089,2018,Avihayil,
אביטל,2052,AVITAL,2,23,234,8,,1,502,501,501,1,1953,310,1,2291271816,68,204,10004394,2018,Avital,213
אביעזר,1070,AVI'EZER,1,11,112,26,444,1,865,865,857,,1958,310,2,2016662104,329,151,15000597,2018,Avi'ezer,
אבירים,1220,ABBIRIM,2,24,244,52,,1,227,227,211,,1980,370,19,2271577149,541,255,10004484,2018,Abbirim,212
אבן יהודה,182,EVEN YEHUDA,4,41,411,99,141,1,13700,13698,13495,2,1932,170,,1894468643,10,457,15000060,2018,Even Yehuda,
אבן מנחם,1081,EVEN MENAHEM,2,24,244,52,,1,297,297,293,,1960,310,1,2278277545,550,255,10004302,2018,Even Menahem,212
אבן ספיר,783,EVEN SAPPIR,1,11,111,26,444,1,724,722,704,2,1950,310,1,2128463002,571,151,10002521,2018,Even Sappir,
אבן שמואל,400,EVEN SHEMU'EL,6,61,612,34,,1,1675,1675,1673,,1956,350,,1775460940,150,631,10001813,2018,Even Shemu'el,
אבני איתן,4011,AVNE ETAN,2,29,294,71,,1,714,714,714,,1978,310,2,2719674774,346,219,10004579,2018,Avne Etan,211
אבני חפץ,3793,AVNE HEFEZ,7,73,,72,,1,1895,1895,1883,,1990,370,11,2070868793,143,710,10003262,2018,Avne Hefez,
אבנת,3786,AVENAT,7,75,,74,,1,185,185,185,,1983,370,,2414762075,-359,713,10003314,2018,Avenat,
אבשלום,1311,AVSHALOM,6,62,622,38,,1,274,274,196,,1990,370,10,1361956745,89,651,10001893,2018,Avshalom,620
אדורה,3759,ADORA,7,77,,78,,1,440,440,434,,1984,370,9,2016960665,552,715,15003512,2018,Adora,
אדירים,113,ADDIRIM,2,23,234,8,,1,279,279,278,,1956,310,1,2257971719,69,204,10004394,2018,Addirim,213
אדמית,1068,ADAMIT,2,24,244,4,,1,209,209,183,,1958,330,15,2199777600,409,201,10004302,2018,Adamit,212
אדרת,1123,ADDERET,1,11,112,26,444,1,848,848,848,,1961,310,1,1995861869,396,151,15000597,2018,Adderet,
אודים,446,UDIM,4,41,411,19,141,1,1375,1375,1338,,1948,310,10,1858268581,10,401,15000060,2018,Udim,
אודם,4010,ODEM,2,29,292,71,,1,139,139,136,,1976,320,6,2702878880,1019,219,10004579,2018,Odem,211
אוהד,1046,OHAD,6,62,622,38,,1,407,389,387,18,1969,310,1,1458057199,131,651,10001893,2018,Ohad,620
אום אל-פחם,2710,UMM AL-FAHM,3,32,323,0,,2,55182,44,21,55138,,250,,2145171399,139,354,10004249,2018,Umm al-Fahm,
אום אל-קוטוף,2024,UMM AL-QUTUF,3,32,323,14,,2,1093,,,1093,,450,,2055370835,89,351,10004233,2018,Umm Al-Qutuf,
אום בטין,1358,UMM BATIN,6,62,623,69,342,2,4093,13,12,4080,,290,,1886757656,310,624,10001937,2018,Umm Batin,610
אומן,1108,OMEN,2,23,234,8,,1,368,368,342,,1958,350,,2230271878,64,204,10004394,2018,Omen,213
אומץ,680,OMEZ,4,41,412,16,141,1,832,831,820,1,1949,310,1,1996969743,27,409,15000060,2018,Omez,
אופקים,31,OFAQIM,6,62,622,0,,1,29021,28820,26936,201,1955,160,,1638257979,113,601,10001893,2018,Ofaqim,620
אור הגנוז,1294,OR HAGANUZ,2,21,212,2,,1,548,548,548,,1989,320,11,2421276781,716,209,10004528,2018,Or HaGanuz,211
אור הנר,67,OR HANER,6,61,614,37,,1,754,754,726,,1957,330,15,1620260736,44,651,10001829,2018,Or HaNer,620
אור יהודה,2400,OR YEHUDA,5,52,512,0,122,1,36864,36805,36041,59,1950,160,,1863265962,1,510,10001516,2018,Or Yehuda,
אור עקיבא,1020,OR AQIVA,3,32,324,0,,1,18236,18143,16787,93,1951,170,,1927371262,10,353,10004261,2018,Or Aqiva,
אורה,780,ORA,1,11,111,26,444,1,1337,1334,1279,3,1950,310,1,2145762903,734,151,10002521,2018,Ora,
אורון,1771,,6,62,626,48,,,,,,,,520,,2014453557,330,620,10001918,2018,,610
אורות,2012,OROT,6,61,611,33,143,1,507,507,502,,1952,310,1,1749262782,40,616,10001821,2018,Orot,420
אורטל,4013,ORTAL,2,29,292,71,,1,343,343,343,,1978,330,15,2712077700,859,219,10004579,2018,Ortal,211
אורים,403,URIM,6,62,622,38,,1,493,492,456,1,1946,330,15,1545457936,93,651,10001893,2018,Urim,620
אורנים,882,ORANIM,3,31,311,12,222,1,179,95,94,84,1951,340,,2104973529,43,301,10004207,2018,Oranim,
אורנית,3760,ORANIT,7,73,,99,145,1,8807,8797,8678,10,1985,180,,1995467087,60,718,10003262,2018,Oranit,
אושה,278,USHA,3,31,311,12,222,1,492,492,481,,1937,330,15,2110474459,19,301,10004207,2018,Usha,
אזור,565,AZOR,5,53,513,99,123,1,12854,12822,12084,32,1948,170,,1819465899,19,509,10001430,2018,Azor,
"אזור אילון מ""א 4",1852,,2,24,244,4,,,,,,,,530,,2196077510,,,,2018,,212
"אזור אילון מ""א 52",1851,,2,24,244,52,,,,,,,,530,,2266077360,,,,2018,,212
"אזור אילון של""ש",1853,,2,24,244,,,,,,,,,530,,2314076950,,,,2018,,
"אזור אשדוד מ""א 29",1922,,6,61,613,29,,,,,,,,530,,1726063970,,,,2018,,420
"אזור אשדוד מ""א 33",1921,,6,61,613,33,,,,,,,,530,,1649062930,,,,2018,,420
"אזור אשדוד של""ש",1923,,6,61,613,,,,,,,,,530,,1681064050,,,,2018,,
"אזור אשקלון מ""א 36",1924,,6,61,614,36,,,,,,,,530,,1663061620,,,,2018,,
"אזור אשקלון מ""א 37",1926,,6,61,614,37,,,,,,,,530,,1637060210,,,,2018,,620
"אזור באר שבע מ""א 41",1937,,6,62,623,41,,,,,,,,530,,1807058120,,,,2018,,620
"אזור באר שבע מ""א 51",1938,,6,62,623,51,,,,,,,,530,,2240057100,,,,2018,,
"אזור באר שבע של""ש",1939,,6,62,623,,,,,,,,,530,,1974056740,,,,2018,,
"אזור בשור מ""א 38",1933,,6,62,622,38,,,,,,,,530,,1457057060,,,,2018,,620
"אזור בשור מ""א 39",1935,,6,62,622,39,,,,,,,,530,,1505059540,,,,2018,,620
"אזור בשור מ""א 42",1934,,6,62,622,42,,,,,,,,530,,1608057600,,,,2018,,620
"אזור גלילות מ""א 19",1907,,5,51,511,19,,,,,,,,530,,,,,,2018,,
"אזור גרר מ""א 39",1931,,6,62,621,39,,,,,,,,530,,1572058820,,,,2018,,620
"אזור גרר מ""א 41",1929,,6,62,621,41,,,,,,,,530,,1725058920,,,,2018,,620
"אזור גרר מ""א 42",1930,,6,62,621,42,,,,,,,,530,,1679059410,,,,2018,,620
"אזור זכרון יעקב מ""א 15",1866,,3,32,322,15,,,,,,,,530,,2001072840,,,,2018,,
"אזור זכרון יעקב של""ש",1867,,3,32,322,,,,,,,,,530,,2040072880,,,,2018,,
"אזור חדרה מ""א 14",1873,,3,32,324,14,,,,,,,,530,,2012070620,,,,2018,,
"אזור חדרה מ""א 15",1872,,3,32,324,15,,,,,,,,530,,1932070920,,,,2018,,
"אזור חדרה מ""א 45",1871,,3,32,324,45,,,,,,,,530,,1999071630,,,,2018,,
"אזור חדרה של""ש",1874,,3,32,324,,,,,,,,,530,,2029069980,,,,2018,,
"אזור חולון של""ש",1909,,5,53,513,,,,,,,,,530,,1817066000,,,,2018,,
"אזור חיפה מ""א 12",1860,,3,31,311,12,,,,,,,,530,,2104074200,,,,2018,,
"אזור חיפה של""ש",1862,,3,31,311,,,,,,,,,530,,2088073220,,,,2018,,
